name,artists,spotify_url,danceability,danceability,energy,energy,key,key,loudness,loudness,mode,mode,speechiness,speechiness,acousticness,acousticness,instrumentalness,instrumentalness,liveness,liveness,valence,valence,tempo,tempo,time_signature,time_signature
Epicology,['DJ.M@R [Massive Breakz]'],https://open.spotify.com/track/13psSoXIWVYRhqpWortuBW,0.781,,0.752,,2.0,,-7.957,,1.0,,0.0645,,0.0459,,0.0,,0.363,,0.624,,101.998,,4.0,
Los Caminos de la Vida,['Vicentico'],https://open.spotify.com/track/1crk0MXXyFQ1zVow6YTJOo,0.756,,0.691,,2.0,,-3.718,,1.0,,0.178,,0.0744,,0.0,,0.364,,0.632,,104.999,,4.0,
Angel Of Small Death & The Codeine Scene,['Hozier'],https://open.spotify.com/track/6rXvxz68x3FqXSdUabupFl,0.81,,0.73,,2.0,,-4.89,,1.0,,0.085,,0.00423,,0.0,,0.336,,0.721,,105.971,,4.0,
No Te Vi Mas,['La Rosa'],https://open.spotify.com/track/5DsYDIXHS9PkpbuGdgEHBP,0.761,,0.743,,2.0,,-6.697,,1.0,,0.0483,,0.00591,,0.0039,,0.377,,0.705,,103.973,,4.0,
Metro,['Berlin'],https://open.spotify.com/track/3laCS0Pqn7tyzlhvqfeRAY,0.8,,0.658,,2.0,,-7.93,,1.0,,0.04,,0.00148,,7.59e-05,,0.367,,0.664,,97.978,,4.0,
Kruh,"['Marpo', 'Lenny']",https://open.spotify.com/track/7iS9u3xBMpYC1GwWEBO8RG,0.709,,0.7,,2.0,,-7.011,,1.0,,0.0717,,0.067,,0.0,,0.414,,0.63,,82.024,,4.0,
Un portrait de Norman Rockwell,['Eddy Mitchell'],https://open.spotify.com/track/4e9J0OfQVZ94le1gmqALMR,0.783,,0.726,,2.0,,-5.934,,1.0,,0.0836,,0.0639,,0.0,,0.361,,0.551,,86.363,,4.0,
Min Mou Xanafigis Pia,['Vassilis Tsitsanis'],https://open.spotify.com/track/62SayO5Hd2kwBh3OJrPfi3,0.784,,0.717,,2.0,,-6.222,,1.0,,0.109,,0.072,,2.72e-06,,0.429,,0.79,,99.014,,4.0,
歌,['羅大佑'],https://open.spotify.com/track/1yOMfgL3V9SSLzndOWfBTh,0.781,,0.759,,1.0,,-6.45,,1.0,,0.105,,0.0264,,6.21e-05,,0.344,,0.647,,109.81,,4.0,
Tårer Taler Sandt,['Flemming Bamse Jørgensen'],https://open.spotify.com/track/6JrUlvf9lBW4blK2x9xtYj,0.773,,0.743,,2.0,,-7.352,,1.0,,0.0319,,0.0723,,0.00051,,0.313,,0.699,,105.071,,4.0,
